lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Baldwin,Stanley,200,5725,1925,8,0.144927536,0.653153153,0.365079365,0.108108108,0.391534392,0.585480094,0.245901639,Stanley Baldwin
Baldwin,Stanley,200,6561,1926,12,0.171779141,0.6,0.326633166,0.1,0.355670103,0.586374696,0.215384615,Stanley Baldwin
Baldwin,Stanley,200,14272,1926,2,0.063291139,0.656746032,0.337278107,0.096,0.415533981,0.589189189,0.243852459,Stanley Baldwin
Baldwin,Stanley,200,12344,1926,3,0.071729958,0.671428571,0.331632653,0.082568807,0.448818898,0.591397849,0.263157895,Stanley Baldwin
Baldwin,Stanley,200,13974,1926,5,0.155,0.710891089,0.340425532,0.081481481,0.361305361,0.59650924,0.220264317,Stanley Baldwin
Baldwin,Stanley,200,13691,1926,7,0.106666667,0.747191011,0.356164384,0.076086957,0.471299094,0.640776699,0.219653179,Stanley Baldwin
Baldwin,Stanley,200,7454,1926,9,0.107142857,0.780392157,0.269035533,0.058823529,0.48502994,0.631578947,0.135416667,Stanley Baldwin
Baldwin,Stanley,200,7047,1927,11,0.059602649,0.77992278,0.426778243,0.055555556,0.367256637,0.607214429,0.225663717,Stanley Baldwin
Baldwin,Stanley,200,11524,1927,12,0.082304527,0.681114551,0.367857143,0.064516129,0.454849498,0.632183908,0.238095238,Stanley Baldwin
Baldwin,Stanley,200,6240,1927,2,0.1,0.706976744,0.369318182,0.082191781,0.464285714,0.629711752,0.195266272,Stanley Baldwin
Baldwin,Stanley,200,7656,1927,3,0.158273381,0.681222707,0.333333333,0.076923077,0.493902439,0.557956778,0.2375,Stanley Baldwin
Baldwin,Stanley,200,10385,1927,5,0.117391304,0.685430464,0.4,0.112359551,0.471223022,0.606927711,0.234693878,Stanley Baldwin
Baldwin,Stanley,200,5882,1927,7,0.12173913,0.777251185,0.333333333,0.073170732,0.393333333,0.626033058,0.198717949,Stanley Baldwin
Baldwin,Stanley,200,14250,1928,11,0.141843972,0.625514403,0.375,0.088757396,0.481770833,0.587906977,0.191536748,Stanley Baldwin
Baldwin,Stanley,200,7637,1928,12,0.098039216,0.625,0.356164384,0.101694915,0.502793296,0.627906977,0.231884058,Stanley Baldwin
Baldwin,Stanley,200,19039,1928,3,0.115942029,0.678678679,0.323590814,0.058064516,0.446555819,0.59293524,0.210065646,Stanley Baldwin
Baldwin,Stanley,200,6855,1928,6,0.06870229,0.546296296,0.319148936,0.078431373,0.43956044,0.618686869,0.208791209,Stanley Baldwin
Baldwin,Stanley,200,18795,1935,12,0.105839416,0.577586207,0.344984802,0.084337349,0.42047532,0.575669804,0.231974922,Stanley Baldwin
Baldwin,Stanley,200,13516,1935,7,0.06614786,0.686695279,0.298474946,0.114457831,0.450402145,0.592213115,0.256235828,Stanley Baldwin
Baldwin,Stanley,200,4810,1936,10,0.186813187,0.647058824,0.34591195,0.164383562,0.5,0.583081571,0.156862745,Stanley Baldwin
Baldwin,Stanley,200,14590,1936,11,0.090163934,0.776556777,0.316901408,0.078431373,0.353221957,0.589652096,0.235872236,Stanley Baldwin
Baldwin,Stanley,200,7960,1936,12,0.1484375,0.556338028,0.418006431,0.154929577,0.361563518,0.605009634,0.217105263,Stanley Baldwin
Baldwin,Stanley,200,12506,1936,3,0.193069307,0.665948276,0.322077922,0.091463415,0.471810089,0.610932476,0.197860963,Stanley Baldwin
Baldwin,Stanley,200,9538,1936,4,0.071428571,0.707520891,0.265682657,0.117647059,0.449122807,0.644204852,0.213740458,Stanley Baldwin
Baldwin,Stanley,200,11109,1936,5,0.091286307,0.715365239,0.280864198,0.08988764,0.422580645,0.61548913,0.251677852,Stanley Baldwin
Baldwin,Stanley,200,11710,1936,6,0.2375,0.58968059,0.316666667,0.042857143,0.427055703,0.588865096,0.209359606,Stanley Baldwin
Baldwin,Stanley,200,5424,1936,7,0.03030303,0.740740741,0.3,0.022222222,0.362162162,0.583783784,0.24852071,Stanley Baldwin
Baldwin,Stanley,200,4990,1937,1,0.166666667,0.591623037,0.395604396,0.127659574,0.461077844,0.605479452,0.279329609,Stanley Baldwin
Baldwin,Stanley,200,7692,1937,2,0.096296296,0.673076923,0.378091873,0.107526882,0.44015444,0.613461538,0.235074627,Stanley Baldwin
Baldwin,Stanley,200,9137,1937,3,0.121621622,0.739520958,0.298755187,0.101265823,0.48019802,0.62037037,0.284482759,Stanley Baldwin
Baldwin,Stanley,200,6804,1937,4,0.096774194,0.69527897,0.31640625,0.121212121,0.414634146,0.631192661,0.199186992,Stanley Baldwin
