lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Callaghan,James,200,117258,1977,0.697297297,0.330630631,0.322954955,0.302702703,0.468468468,0.624324324,0.041441441,0.182882883,0.09009009,0.00990991,0.051351351,0.445471349,0.226432532,0.139152183,0.33903482,0.952822565,James Callaghan
Callaghan,James,200,137667,1978,0.630084421,0.266308519,0.333404877,0.369915579,0.405218726,0.639293937,0.037605526,0.138142748,0.10437452,0.016116654,0.064466616,0.436728395,0.218235597,0.135867484,0.334531451,0.954548053,James Callaghan
Callaghan,James,200,59188,1979,0.68,0.310666667,0.355936,0.32,0.384,0.652,0.034,0.154,0.108,0.014,0.038,0.344992051,0.174880763,0.104247032,0.284414107,0.970350673,James Callaghan
Campbell,Henry,200,56705,1906,0.601286174,0.287245445,0.253779427,0.398713826,0.495176849,0.569131833,0.054662379,0.176848875,0.122186495,0.006430868,0.07073955,0.413357401,0.193441637,0.145458041,0.219168428,0.96812019,Henry Campbell
Campbell,Henry,200,52785,1907,0.679012346,0.298353909,0.313763146,0.320987654,0.50617284,0.62037037,0.049382716,0.169753086,0.070987654,0.00617284,0.083333333,0.457114026,0.247225025,0.135008212,0.246387833,0.966735619,Henry Campbell
Carter,Jimmy,2,4741,1976,0.608695652,0.217391304,0.243478261,0.391304348,0.434782609,0.565217391,0.152173913,0.086956522,0.043478261,0.02173913,0.130434783,0.557522124,0.342182891,0.12488057,0.289308176,0.96387103,Jimmy Carter
Carter,Jimmy,2,586025,1977,0.537040837,0.23161639,0.23289166,0.462959163,0.509337164,0.557356864,0.0496614,0.161502155,0.109788631,0.028524523,0.093166427,0.441497152,0.21413073,0.140092617,0.283924722,0.960224243,Jimmy Carter
Carter,Jimmy,2,653645,1978,0.54146176,0.234921712,0.221352844,0.45853824,0.548075293,0.545531626,0.054773614,0.17042564,0.100559607,0.025097507,0.103612006,0.459107155,0.228887799,0.138992321,0.29242289,0.959355464,Jimmy Carter
Carter,Jimmy,2,518871,1979,0.524814732,0.234298974,0.201742319,0.475185268,0.563664945,0.526162138,0.059061307,0.177183921,0.106894229,0.026049854,0.104648552,0.448796444,0.230171377,0.12594949,0.271922325,0.965751522,Jimmy Carter
Carter,Jimmy,2,994870,1980,0.493456132,0.225117143,0.183774694,0.506543868,0.582888997,0.50618032,0.057561803,0.182985943,0.120092099,0.02472128,0.108458556,0.420219133,0.217490716,0.12297178,0.275305265,0.966145222,Jimmy Carter
