lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
MacDonald,Ramsay,200,16520,1935,0.544303797,0.265822785,0.191668002,0.455696203,0.632911392,0.506329114,0.050632911,0.215189873,0.101265823,0.025316456,0.101265823,0.526011561,0.256262042,0.156363393,0.185882353,0.970934805,Ramsay MacDonald
MacMillan,Harold,200,127948,1957,0.560723514,0.24332472,0.258317809,0.439276486,0.550387597,0.573643411,0.029715762,0.177002584,0.103359173,0.018087855,0.098191214,0.443868739,0.21099597,0.152585304,0.250485437,0.961779603,Harold MacMillan
MacMillan,Harold,200,94604,1958,0.62797619,0.256944444,0.35760523,0.37202381,0.398809524,0.65625,0.025297619,0.132440476,0.105654762,0.013392857,0.066964286,0.461145774,0.225940631,0.158383215,0.275975359,0.956290135,Harold MacMillan
MacMillan,Harold,200,81211,1959,0.64173913,0.288115942,0.295581399,0.35826087,0.570434783,0.6,0.027826087,0.193043478,0.08,0.006956522,0.092173913,0.447368421,0.182594645,0.174413563,0.284794453,0.950327985,Harold MacMillan
MacMillan,Harold,200,69224,1960,0.612546125,0.290282903,0.262787816,0.387453875,0.549815498,0.573800738,0.035055351,0.197416974,0.099630996,0.016605166,0.077490775,0.478114478,0.228395062,0.180607421,0.313294798,0.943416635,Harold MacMillan
MacMillan,Harold,200,100636,1961,0.606276748,0.251545411,0.32390858,0.393723252,0.447931526,0.630527817,0.025677603,0.146932953,0.102710414,0.017118402,0.07703281,0.44324016,0.199277429,0.172931807,0.285656072,0.950600979,Harold MacMillan
MacMillan,Harold,200,101237,1962,0.630057803,0.286608863,0.286426209,0.369942197,0.554913295,0.593930636,0.027456647,0.193641618,0.083815029,0.01734104,0.083815029,0.429709732,0.218364637,0.150112616,0.282564312,0.957583532,Harold MacMillan
MacMillan,Harold,200,93625,1963,0.558303887,0.241460542,0.256130055,0.441696113,0.561837456,0.570671378,0.03180212,0.176678445,0.106007067,0.010600707,0.104240283,0.339589443,0.172434018,0.113786775,0.249229414,0.971640989,Harold MacMillan
Major,John,200,9177,1990,0.854545455,0.548484848,0.262347107,0.145454545,0.8,0.481818182,0.063636364,0.381818182,0.054545455,0,0.018181818,0.46961326,0.285451197,0.100613534,0.378006873,0.961967393,John Major
Major,John,200,119150,1991,0.726568006,0.439276486,0.233271205,0.273431994,0.762508809,0.49119098,0.040169133,0.33192389,0.07329105,0.014094433,0.049330514,0.340318199,0.152373561,0.102220186,0.355105105,0.96370109,John Major
Major,John,200,102860,1992,0.65890028,0.38583411,0.212722688,0.34109972,0.764212488,0.483690587,0.036346692,0.309412861,0.08667288,0.011183597,0.072693383,0.487908962,0.246562352,0.150566124,0.337209302,0.949227703,John Major
Major,John,200,110976,1993,0.721539722,0.427245427,0.234740123,0.278460278,0.751842752,0.4995905,0.041769042,0.319410319,0.075348075,0.007371007,0.056511057,0.323577236,0.144444444,0.101901249,0.331703341,0.966199015,John Major
Major,John,200,97887,1994,0.714563107,0.429773463,0.237734754,0.285436893,0.745631068,0.499029126,0.033980583,0.324271845,0.083495146,0.010679612,0.048543689,0.43831013,0.215394463,0.13111361,0.330870543,0.956618369,John Major
Major,John,200,124408,1995,0.720893142,0.423444976,0.235721099,0.279106858,0.725677831,0.505582137,0.042264753,0.312599681,0.071770335,0.01754386,0.050239234,0.368297456,0.165427267,0.125993421,0.329220268,0.958520412,John Major
